ID;Previous_company;Email Address;FirstName LastName;Phone;Job Title;Corporate;anciennete;Salary;Residence;Gender;Uni_name
1;Mars;Miley_Hall4430@bulaffy.com;Miley Hall;2-646-522-0567;Production Painter;Research and Development;7;33002;San Antonio;Female;University of Maryland, College Park
2;Facebook;Katelyn_Lomax452@brety.org;Katelyn Lomax;7-542-822-3468;Project Manager;Finance;23;37895;Glendale;Female;University of Wisconsin-Madison
3;DynCorp;Brooklyn_Walton5446@guentu.biz;Brooklyn Walton;8-264-282-3065;Assistant Buyer;IT;11;39026;Indianapolis;Female;University of Miami
4;Carrefour;Mavis_Doherty2230@joiniaa.com;Mavis Doherty;7-511-887-8300;Auditor;Human Resources;20;43741;San Antonio;Female;Boston College
5;Mars;Sage_Latham9509@ubusive.com;Sage Latham;3-762-713-4033;Cash Manager;Marketing;22;45222;San Bernardino;Female;Case Western Reserve University
6;Comodo;Kassandra_Moore4486@grannar.com;Kassandra Moore;2-668-664-1741;Electrician;Operations;23;42040;Quebec;Female;New York University
7;Facebook;Marjorie_Sheldon4058@elnee.tech;Marjorie Sheldon;7-735-270-1653;Webmaster;Accounting;18;47773;Philadelphia;Female;University of South Florida
8;Facebook;Ethan_Mooney7863@nickia.com;Ethan Mooney;0-681-767-2577;Production Painter;Operations;18;27690;New York;Male;North Carolina State University
9;CarMax;Camila_Goodman2161@joiniaa.com;Camila Goodman;7-026-661-5811;Steward;Research and Development;22;38103;San Jose;Female;Brown University
10;Boeing;Brad_Stubbs9582@grannar.com;Brad Stubbs;7-163-652-6606;Mobile Developer;Research and Development;2;43553;Louisville;Male;University of New Mexico
11;Coca-Cola Company;Harvey_Burge2098@bungar.biz;Harvey Burge;5-573-540-2184;Cashier;Human Resources;18;46190;San Jose;Male;Northeastern University
12;Amazon.com;Manuel_Farrow5218@famism.biz;Manuel Farrow;3-554-480-4300;Cash Manager;Marketing;14;39785;Escondido;Male;University of Kansas
13;Global Print;David_Drew6512@muall.tech;David Drew;5-430-064-2318;Service Supervisor;IT;27;36847;Quebec;Male;University of Texas at Austin
14;Apple Inc.;Percy_Watson2422@womeona.net;Percy Watson;5-428-721-8784;Baker;Accounting;9;38907;Albuquerque;Male;Georgia Institute of Technology
15;Danone;Tyson_Weldon8738@deons.tech;Tyson Weldon;2-128-242-1432;Accountant;Operations;22;44556;Atlanta;Male;University of Connecticut
16;DynCorp;Goldie_Payne8584@sveldo.biz;Goldie Payne;1-116-317-3741;Food Technologist;Accounting;12;31915;Murfreesboro;Female;Drexel University
17;Apple Inc.;Josh_Janes2454@naiker.biz;Josh Janes;5-303-256-3712;IT Support Staff;Marketing;4;35351;Portland;Male;The New School
18;DynCorp;Clint_Styles2455@tonsy.org;Clint Styles;2-746-627-8877;CNC Operator;Operations;24;35948;Scottsdale;Male;Tulane University
19;Team Guard SRL;Deborah_Wright8916@nimogy.biz;Deborah Wright;4-325-807-6187;Production Painter;Marketing;25;36514;Bellevue;Female;Tulane University
20;Biolife Grup;Manuel_Faulkner1908@liret.org;Manuel Faulkner;2-320-021-5027;Design Engineer;Finance;20;26478;Wien;Male;Brown University
21;Vodafone;Chuck_Exton3948@nimogy.biz;Chuck Exton;0-435-054-0366;Software Engineer;Marketing;20;42320;Dallas;Male;University of Notre Dame
22;Amazon.com;Belinda_Townend6068@liret.org;Belinda Townend;4-021-024-7386;CNC Operator;Finance;15;31768;Miami;Female;Vanderbilt University
23;AECOM;Domenic_Stark8684@acrit.org;Domenic Stark;5-302-717-6345;Inspector;Management;12;30672;Oakland;Male;Vanderbilt University
24;Amazon.com;Mason_Norton3516@hourpy.biz;Mason Norton;4-735-614-3737;Budget Analyst;IT;21;47912;Lisbon;Male;University of California, Riverside
25;CarMax;Martha_Griffiths8074@typill.biz;Martha Griffiths;7-138-387-6423;Web Developer;IT;10;26532;Philadelphia;Female;University of Notre Dame
26;Boeing;Marvin_Spencer4754@famism.biz;Marvin Spencer;8-013-781-5680;Webmaster;Management;15;25081;Phoenix;Male;Harvard University
27;ENEL;Alexander_Brock378@bulaffy.com;Alexander Brock;1-262-854-7747;Design Engineer;IT;10;29305;El Paso;Male;University of Virginia
28;BuzzFeed;Freya_Savage3651@gompie.com;Freya Savage;1-030-501-0465;Front Desk Coordinator;Sales;7;39827;Nashville;Female;The University of Georgia
29;Erickson;Nate_Rogers8920@gembat.biz;Nate Rogers;5-326-074-3575;Bookkeeper;Human Resources;13;43074;Scottsdale;Male;New York University
30;Zepter;Marjorie_Flynn4420@bauros.biz;Marjorie Flynn;5-605-274-4705;Chef Manager;Accounting;25;27957;Ontario;Female;Washington State University
31;Leadertech Consulting;Kaylee_Wood3112@infotech44.tech;Kaylee Wood;6-451-406-7840;Assistant Buyer;Management;0;27815;New Orleans;Female;Vanderbilt University
32;Boeing;Javier_Partridge9730@iatim.tech;Javier Partridge;5-767-102-6643;Baker;Management;26;48522;Toledo;Male;University of California, Davis
33;Telekom;Chadwick_Pratt9250@womeona.net;Chadwick Pratt;0-514-150-5472;HR Specialist;Sales;12;44460;Jacksonville;Male;Virginia Polytechnic Institute and State University
34;Vodafone;Gwenyth_Norburn2718@guentu.biz;Gwenyth Norburn;6-541-024-7213;Doctor;Operations;27;33497;Memphis;Female;Michigan State University
35;Areon Impex;Roger_Slater5163@dionrab.com;Roger Slater;7-342-270-8538;Cook;Operations;16;44008;Laredo;Male;Michigan State University
36;Telekom;Bob_Ripley8248@ubusive.com;Bob Ripley;8-204-867-8018;Budget Analyst;Finance;9;32219;Innsbruck;Male;University of Miami
37;Boeing;Mandy_Shepherd9206@infotech44.tech;Mandy Shepherd;7-224-327-6834;Design Engineer;IT;19;25583;Atlanta;Female;University of California, Santa Barbara (UCSB)
